Inicio, Continuar,  Num_Muestras, Ampliacion_Array, Recepcion, Convolucion, Historial, Devolucion
530242719753351, 530242719902498, 530242719934460, 530242719937034, 530242720019959, 530242730265860, 530242730271378, 530242730396840
530242730407340, 530242730540449, 530242730566041, 530242730568393, 530242730628004, 530242740375317, 530242740380299, 530242740500464
530242740514445, 530242740672092, 530242740704369, 530242740706906, 530242740779646, 530242750520811, 530242750526774, 530242750654125
530242750664662, 530242750778086, 530242750801716, 530242750803586, 530242750862382, 530242760603306, 530242760608714, 530242760735416
530242760746249, 530242760880562, 530242760909692, 530242760912229, 530242760973487, 530242770708764, 530242770711671, 530242770759486
530242770763819, 530242770855429, 530242770877540, 530242770879410, 530242770925965, 530242780669427, 530242780674019, 530242780797666
530242780810203, 530242780944850, 530242780978775, 530242780980868, 530242781037441, 530242790771218, 530242790775033, 530242790894291
530242790908346, 530242791064307, 530242791099881, 530242791102659, 530242791178621, 530242800931730, 530242800937545, 530242801055673
530242801065766, 530242801206727, 530242801235912, 530242801238153, 530242801300652, 530242811037744, 530242811042132, 530242811159761
530242811171501, 530242811303889, 530242811333425, 530242811535793, 530242811608626, 530242821847508, 530242821851026, 530242821931785
530242821936266, 530242822049635, 530242822075042, 530242822077116, 530242822124116, 530242832146315, 530242832151334, 530242832274684
530242832286276, 530242832422090, 530242832448571, 530242832451293, 530242832519015, 530242842256569, 530242842261273, 530242842380771
530242842392919, 530242842531807, 530242842562954, 530242842564843, 530242842628879, 530242852375656, 530242852378656, 530242852424674
530242852427118, 530242852521080, 530242852544913, 530242852546821, 530242852587876, 530242862347152, 530242862354022, 530242862483151
530242862491502, 530242862624668, 530242862651445, 530242862653723, 530242862716185, 530242872452517, 530242872455054, 530242872503739
530242872507294, 530242872595460, 530242872617478, 530242872619849, 530242872666515, 530242882397495, 530242882400625, 530242882470531
530242882478161, 530242882588400, 530242882613919, 530242882615826, 530242882660196, 530242892392139, 530242892395139, 530242892439213
530242892442398, 530242892529601, 530242892553174, 530242892555026, 530242892598378, 530242902802204, 530242902805167, 530242902841871
530242902845241, 530242902928092, 530242902949925, 530242902951610, 530242902992591, 530242912810515, 530242912815385, 530242912891903
530242912897236, 530242913033161, 530242913062012, 530242913064364, 530242913129141, 530242922876325, 530242922881880, 530242923012286
530242923026490, 530242923177710, 530242923207284, 530242923209451, 530242923271357, 530242933009338, 530242933012597, 530242933066911
530242933071707, 530242933176058, 530242933200354, 530242933202058, 530242933250668, 530242942976519, 530242942979315, 530242943021426
530242943024648, 530242943119906, 530242943143128, 530242943144851, 530242943188406, 530242952923034, 530242952925571, 530242952964515
530242952966923, 530242953050403, 530242953074755, 530242953076606, 530242953119421, 530242962845549, 530242962847994, 530242962886345
530242962890104, 530242962972029, 530242962993603, 530242962995344, 530242963033973, 530242973240244, 530242973242393, 530242973281059
530242973285337, 530242973368113, 530242973389002, 530242973390798, 530242973429187, 530242983154575, 530242983157704, 530242983228481
530242983236926, 530242983357239, 530242983380535, 530242983382239, 530242983432831, 530242993175681, 530242993178866, 530242993226959
530242993231292, 530242993315735, 530242993337420, 530242993339235, 530242993384716, 530243003113067, 530243003116882, 530243003179418
530243003186733, 530243003292972, 530243003315213, 530243003317064, 530243003365879, 530243013505651, 530243013509336, 530243013585965
530243013595039, 530243013726482, 530243013749463, 530243013751352, 530243013811906, 530243023542035, 530243023544739, 530243023591553
530243023596220, 530243023683459, 530243023704959, 530243023706663, 530243023751699, 530243033485032, 530243033490254, 530243033634919
530243033651270, 530243033828305, 530243033858786, 530243033861472, 530243033962396, 530243043721210, 530243043727525, 530243043834301
530243043841375, 530243044024521, 530243044055965, 530243044058706, 530243044121705, 530243053853649, 530243053856815, 530243053902518
530243053905555, 530243053997703, 530243054019073, 530243054021610, 530243054066554, 530243063793571, 530243063796108, 530243063843978
530243063848756, 530243063938977, 530243063960162, 530243063961773, 530243064013143, 530243073734123, 530243073736179, 530243073782900
530243073785604, 530243073879066, 530243073900862, 530243073902695, 530243073947528, 530243083672620, 530243083675231, 530243083714323
530243083718008, 530243083803952, 530243083824822, 530243083826581, 530243083866025, 530243093595746, 530243093598209, 530243093639153
530243093642746, 530243093727745, 530243093748004, 530243093749726, 530243093788781, 530243103512928, 530243103515539, 530243103551817
530243103555242, 530243103639797, 530243103660908, 530243103662612, 530243103701926, 530243114139028, 530243114143435, 530243114210934
530243114216342, 530243114343618, 530243114368618, 530243114370618, 530243114430080, 530243124162098, 530243124362892, 530243124455927
530243124460242, 530243124603500, 530243124631222, 530243124633129, 530243124687091, 530243134419609, 530243134422146, 530243134469034
530243134472090, 530243134566774, 530243134586829, 530243134589070, 530243134630051, 530243144360494, 530243144362661, 530243144400457
530243144402735, 530243144487197, 530243144509270, 530243144510993, 530243144550048, 530243154753004, 530243154755263, 530243154793189
530243154795485, 530243154876558, 530243154898873, 530243154901891, 530243154948724, 530243164702797, 530243164708871, 530243164841906
530243164850092, 530243164983720, 530243165011497, 530243165014256, 530243165077644, 530243174810495, 530243174813032, 530243174856921
530243174859865, 530243174953901, 530243174975030, 530243174976901, 530243175025178, 530243184755621, 530243184758177, 530243184797973
530243184803028, 530243184886824, 530243184908897, 530243184910546, 530243184951804, 530243194677248, 530243194679507, 530243194717544
530243194720636, 530243194804987, 530243194827024, 530243194828857, 530243194873338, 530243204602170, 530243204604856, 530243204655170
530243204658910, 530243204753224, 530243204775594, 530243204777317, 530243204818483, 530243214547500, 530243214550685, 530243214605333
530243214611351, 530243214731165, 530243214755202, 530243214757035, 530243214805645, 530243224635791, 530243224643884, 530243224773179
530243224777679, 530243224935269, 530243224963325, 530243224965602, 530243225033527, 530243234779193, 530243234784082, 530243234888673
530243234896914, 530243235023560, 530243235047875, 530243235050542, 530243235106782, 530243244845873, 530243244849632, 530243244936428
530243244946372, 530243245079296, 530243245104148, 530243245106259, 530243245163407, 530243254898202, 530243254900572, 530243254950942
530243254954646, 530243255046515, 530243255069237, 530243255070885, 530243255113255, 530243264844402, 530243264846754, 530243264887457
530243264891994, 530243264978012, 530243264998215, 530243264999882, 530243265042437, 530243274767769, 530243274770362, 530243274807065
530243274810769, 530243274891545, 530243274913175, 530243274915119, 530243274965433, 530243284718117, 530243284724321, 530243284858190
530243284865856, 530243284999670, 530243285028688, 530243285030929, 530243285092669, 530243302831038, 530243302836723, 530243302918111
