Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, 
1130401289014316, 1130401289015075, 1130401289044686, 1130401289058112, 1130401289087001, 1130401289848844, 8192
1130401289924491, 1130401289925121, 1130401289953361, 1130401289967565, 1130401289993138, 1130401290746297, 8191
1130401290823536, 1130401290824148, 1130401290856018, 1130401290870036, 1130401290898202, 1130401291667768, 8192
1130401291742878, 1130401291743489, 1130401291771489, 1130401291784970, 1130401291811785, 1130401292643312, 8191
1130401292773329, 1130401292773959, 1130401292816143, 1130401292832051, 1130401292876087, 1130401293769929, 8192
1130401296396584, 1130401296397473, 1130401296488343, 1130401296505379, 1130401296536953, 1130401297499665, 8192
1130401297756828, 1130401297758050, 1130401297929271, 1130401297967567, 1130401298047029, 1130401299216497, 8191
1130401299765435, 1130401299766435, 1130401300930792, 1130401301007143, 1130401301054143, 1130401301942781, 8192
1130401302004058, 1130401302004854, 1130401302034780, 1130401302048446, 1130401302082594, 1130401302857196, 8191
1130401302884844, 1130401302885566, 1130401302910418, 1130401302924381, 1130401302949381, 1130401303701391, 8192
1130401303724446, 1130401303725187, 1130401303748853, 1130401303763260, 1130401303789001, 1130401304610251, 8191
1130401304690935, 1130401304691546, 1130401304727083, 1130401304740675, 1130401304772230, 1130401305636295, 8192
1130401305869662, 1130401305870422, 1130401305915736, 1130401305932347, 1130401305968383, 1130401306789244, 8191
1130401306874540, 1130401306875169, 1130401306906688, 1130401306921058, 1130401306952002, 1130401307720549, 8192
1130401307800492, 1130401307801122, 1130401307831659, 1130401307846899, 1130401307874769, 1130401308682797, 8191
1130401308760630, 1130401308761278, 1130401308793166, 1130401308807314, 1130401308834610, 1130401309637157, 8192
1130401309776229, 1130401309776859, 1130401309823006, 1130401309839988, 1130401309880839, 1130401310787218, 8191
1130401312431347, 1130401312431995, 1130401312503069, 1130401312522272, 1130401312554438, 1130401313396614, 8192
1130401314821616, 1130401314822283, 1130401314922023, 1130401314941171, 1130401314978948, 1130401315843068, 8191
1130401315878234, 1130401315878956, 1130401315906734, 1130401315921530, 1130401315955233, 1130401316772113, 8192
1130401316931000, 1130401316931685, 1130401316963777, 1130401316977592, 1130401317009721, 1130401317808768, 8191
1130401317833305, 1130401317834008, 1130401317860360, 1130401317875063, 1130401317904619, 1130401318666462, 8192
1130401318694776, 1130401318695535, 1130401318720498, 1130401318734535, 1130401318761535, 1130401319511823, 8191
1130401319536359, 1130401319537082, 1130401319559396, 1130401319573211, 1130401319596988, 1130401320409738, 8192
1130401320438145, 1130401320438738, 1130401320465719, 1130401320479330, 1130401320511126, 1130401321289839, 8191
1130401321425745, 1130401321426319, 1130401321454319, 1130401321469134, 1130401321494633, 1130401322258588, 8192
1130401322284828, 1130401322285458, 1130401322309772, 1130401322324643, 1130401322350235, 1130401323111708, 8191
1130401323134856, 1130401323135430, 1130401323160744, 1130401323175003, 1130401323199003, 1130401323954180, 8192
